Cat,Maker,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Total
2W,KAINING (HONGKONG) (IMPORTER: ENIGMA AUTOMOBILES),0,0,0,0,0,0,0,0,51,12,63
2W,KAINING (HONGKONG) (IMPORTER: TOXMO ELECTRIC),0,0,0,0,0,0,0,0,5,2,7
2W,KAINING (HONGKONG) (IMPORTER: VOLTA EV PVT LTD),0,0,0,0,0,0,0,0,0,3,3
2W,KAINING (HONGKONG) (IMPORTER:M/S IZANAU ELECTRIC),0,0,0,0,0,0,0,0,11,17,28
3W,KAKKAR ELECTRIC AUTO PVT LTD,0,0,0,0,0,0,0,0,0,93,93
3W,KALIKA VAHAN PVT LTD,0,0,0,55,55,39,17,2,2,0,170
3W,KALINGA VENTURES IND P,0,0,25,5,5,0,0,0,0,0,35
3W,KALINGA VENTURES INDIA PVT LTD,0,0,20,96,250,96,31,110,139,9,751
LMV,KALINGA VENTURES INDIA PVT LTD,0,0,1,58,7,0,0,0,0,0,66
3W,KALPVRIKSH ELECTOMOBILES CO,0,0,0,1,74,70,83,136,288,211,863
3W,KAMAZ INDUSTRIES,0,0,0,6,5,30,9,61,122,42,275
3W,KANHA ELECTRIC VEHICLES,0,0,0,0,0,0,0,0,0,33,33
3W,KANIFA AUTOMOTIVE PVT LTD,0,0,0,0,2,78,1,0,0,0,81
3W,KAPTECH INDIA PVT LTD,0,0,0,205,657,357,888,1433,1846,1242,6628
3W,KARNATAKA SCOOTERS LTD,0,0,19,0,0,0,0,0,0,0,19
3W,KARTAR AGRO ENGINEERS PVT LTD,0,0,0,1,0,0,0,0,0,0,1
3W,KARTAR AGRO INDUSTRIES PVT LTD,0,0,1,0,0,0,0,0,0,0,1
LMV,KARUMALAIAN AGRO INDUSTRY     ,3,0,0,0,0,0,0,0,0,0,3
MMV,KARUMALAIAN AGRO INDUSTRY     ,1,0,0,0,0,0,0,0,0,0,1
3W,KATYAYANI AUTOMOTIVE,0,0,0,0,0,0,0,0,0,2,2
3W,KAYAMEL MACHINE PRIVATE LTD,0,0,2,0,0,0,0,0,0,0,2
3W,KCAS ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,0,47,197,105,349
3W,KELVINATOR INDIA LTD          ,0,0,3,1,0,0,0,0,0,0,4
3W,KERALA AUTOMOBILES LIMITED,0,0,0,0,0,36,73,32,74,87,302
3W,KETO MOTORS PVT LTD,0,0,0,0,0,0,190,130,224,364,908
LMV,KETO MOTORS PVT LTD,0,0,0,0,0,0,1,0,0,0,1
3W,KETRON ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,0,0,0,1,1
3W,KGN,0,0,0,0,38,72,76,321,339,170,1016
3W,KGN INDUSTRIES,0,0,0,0,16,8,0,47,405,522,998
LMV,KGN INDUSTRIES,0,0,0,1,0,0,0,0,0,0,1
3W,KHALSA  AGRO INDUSTRIES,0,0,429,11,0,21,7,31,3,0,502
3W,KHALSA E-VEHICLES PVT LTD,0,0,129,1299,1233,607,1214,3712,8478,5591,22263
3W,KHAN ENGINEERING WORKS,0,0,1,0,0,0,0,0,0,0,1
3W,KHEMRAJ AUTOMOTIVE INDUSTRIES,0,48,352,177,46,13,7,2,0,0,645
LMV,KIA INDIA PRIVATE LIMITED,0,0,0,0,0,0,0,215,438,172,825
2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,0,0,0,0,0,0,2085,7779,7515,17379
3W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,12,383,1374,1463,669,835,2704,4648,1756,13844
LMV,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,0,0,3,1,0,840,8,1,30,883
3W,KINETIC GREEN ENERGY P SOL LTD,29,2005,880,68,43,38,136,316,58,0,3573
3W,KINETIC MOTOR COMPANY LIMITED,3,250,678,13,0,0,0,0,0,0,944
LMV,KION INDIA PVT LTD,2,3,4,0,0,0,0,4,0,0,13
MMV,KION INDIA PVT LTD,0,2,0,0,0,0,0,0,0,0,2
3W,KIRAN AUTOMOBILE INDUSTRY,0,0,0,0,0,0,0,10,81,77,168
3W,KIRTI SOLAR LTD,0,8,44,287,266,304,391,101,19,7,1427
LMV,KISAN AGRO INDUSTRIES,2,1,0,0,0,0,0,0,0,0,3
2W,KLB KOMAKI PVT LTD,0,0,0,0,0,0,1175,3487,4173,1889,10724
3W,KLB KOMAKI PVT LTD,0,0,0,77,80,47,34,9,4,192,443
LMV,KLB KOMAKI PVT LTD,0,0,0,0,0,0,0,0,0,1,1
3W,KNIGHT QUEEN INDUSTRIES PV LTD,8,15,1,0,0,0,0,0,0,0,24
3W,KNIGHT QUEEN INDUSTRIES PVT LTD,0,3,10,4,0,0,0,0,0,0,17
3W,KPT INDUSTRIES LTD,0,0,0,14,3,3,4,9,11,3,47
3W,KPT MOTORS,0,0,0,0,0,0,0,15,81,26,122
3W,KRANTI AUTOMOBILES LIMITED,0,0,9,0,0,0,0,0,0,0,9
3W,KRANTI AUTOMOBILES LTD,0,0,0,1,21,27,5,3,0,0,57
3W,KRANTI INTERNATIONAL,0,0,0,10,6,0,0,0,0,0,16
3W,KRISHI ENGINEERING WORKS,0,0,0,1,0,0,0,0,0,0,1
3W,KRISHNA ENGINEERING,0,5,6,0,0,0,0,0,0,0,11
3W,KRISHNA ENGINEERING WORKS,0,8,168,394,419,220,530,684,904,748,4075
LMV,KRISHNA ENGINEERING WORKS,0,0,0,2,0,0,0,0,0,0,2
3W,KRISHNA INDUSTRIES,0,0,1,0,28,39,37,41,5,0,151
3W,KRISHNA VEHICALS,0,0,0,125,127,40,25,162,335,91,905
2W,KRT MOTORS PVT LTD,1,0,0,0,0,0,0,0,0,0,1
LMV,KUBOTA AGRICULTURAL MACHINERY INDIA PVT.LTD.,1,0,0,0,0,0,0,0,0,0,1
3W,KUKU AUTOMOTIVES,39,190,421,348,307,207,203,338,569,189,2811
LMV,KUKU AUTOMOTIVES,0,0,0,0,0,0,0,0,1,0,1
3W,KUMAR ENGINEERING,0,0,0,0,0,0,314,1317,2469,1100,5200
3W,KUMAR MOTORS PVT LTD,0,1,3,0,0,0,0,0,0,0,4
3W,KUMARAN ENGINEERING ENTERPRISES,0,0,0,0,0,0,0,0,244,15,259
2W,KYTE ENERGY PVT. LTD.,0,0,0,0,0,0,0,18,540,218,776
3W,L & T CASE EQUIPMENT PVT LTD,0,0,1,0,0,0,0,0,0,0,1
LMV,LAKSHMI AGRO INDUSTRIES,6,1,1,0,0,0,0,0,0,0,8
3W,LAKSHMI AUTO TRADERS,0,0,0,0,0,0,0,0,15,0,15
3W,LAKSHYA AUTO SALES CORPORATION,0,0,0,0,24,14,33,85,240,168,564
3W,LAKSHYA MOTORS,0,0,0,0,13,0,3,9,0,10,35
3W,LALA G E RICKSHAW AND SPARE PARTS,0,0,0,0,0,0,0,0,0,45,45
3W,LAUNCHER MATERIAL HANDLING INDUSTRIES,0,0,0,2,2,0,0,0,0,0,4
3W,LAWAT MOTORS,0,0,60,0,1,1,0,0,1,0,63
3W,LAWAT MOTORS LLP,0,0,0,144,302,153,301,396,358,264,1918
LMV,LAWAT MOTORS LLP,0,0,0,0,1,0,0,0,0,0,1
3W,LAXMI E-RICKSHAW COMPANY,0,0,0,16,35,11,18,7,0,0,87
2W,LECTRIX EV PVT LTD,0,0,0,0,0,0,0,2350,6203,2661,11214
3W,LECTRIX EV PVT LTD,0,0,0,0,0,7,876,4646,7288,3785,16602
LMV,LECTRIX EV PVT LTD,0,0,0,0,0,0,0,0,4,1,5
3W,LEOPAN MOTORS PRIVATE LIMITED,0,0,0,0,0,0,0,0,13,4,17
2W,LI-IONS ELEKTRIK SOLUTIONS PVT LTD,0,0,0,0,0,40,5,0,5,0,50
2W,LIMA VEHICLE GROUP(IMPORTER: ROUTE & MARS EV LLP),0,0,0,0,0,0,0,0,0,2,2
3W,LIONIZE AUTOMOBILE PVT LTD,0,0,0,0,0,0,0,0,0,194,194
LMV,LIUGONG INDIA PVT. LTD,0,0,0,0,1,0,0,9,0,0,10
MMV,LIUGONG INDIA PVT. LTD,0,0,0,1,0,0,0,0,0,0,1
2W,LML LIMITED,0,0,10,0,0,0,0,0,0,0,10
3W,LML LIMITED,0,22,38,3,0,0,0,0,0,0,63
LMV,LMV LTD,2,0,1,0,0,0,0,0,0,0,3
3W,LOCAL TRAILER MANUFACTURER,0,0,0,0,0,0,0,0,11,0,11
LMV,LOCAL TRAILER MANUFACTURER,0,0,0,0,0,0,1,0,0,0,1
2W,LOG 9 MATERIALS SCIENTIFIC PVT LTD,0,0,0,0,0,0,21,0,0,0,21
2W,LOHIA AUTO INDUSTRIES,0,0,1,0,0,0,0,0,0,0,1
3W,LOHIA AUTO INDUSTRIES,5,133,184,666,714,377,511,1523,1644,770,6527
LMV,LOHIA AUTO INDUSTRIES,0,0,0,5,0,0,0,0,0,0,5
3W,LOHIA AUTO INDUSTRIES LTD.,0,400,420,165,94,54,30,185,20,0,1368
3W,LORDS VEHICLE MFG PVT LTD,0,0,0,0,0,3,65,114,186,50,418
3W,LOTEY AGRO INDUSTRY,0,441,4,3,0,0,0,0,0,0,448
3W,LOTIA  MOTORS  LTD,0,0,8,1,0,0,0,0,0,0,9
3W,LUCKY INDUSTRIES,0,0,0,0,0,0,0,0,38,88,126
3W,M G INDUSTRIES,0,0,0,11,65,41,5,64,145,53,384
LMV,M G INDUSTRIES,0,0,0,0,1,0,0,0,0,0,1
3W,M K BROTHERS,0,0,0,0,1,2,0,0,2,12,17
3W,M K ENTERPRISES,0,210,169,16,1,0,0,0,0,0,396
LMV,M.G.P ENGINEERING WORKS,0,2,0,0,0,0,0,0,0,0,2
3W,M.K. ENTERPRISES,0,131,408,487,210,194,305,477,1097,657,3966
LMV,M.K. ENTERPRISES,0,0,0,0,0,0,1,0,0,0,1
3W,M/S CHAMPION POLY PLAST,877,3089,386,66,0,2,0,0,0,0,4420
LMV,M/S CHAMPION POLY PLAST,0,2,2,11,0,0,0,0,0,0,15
3W,M/S HOVEL CYLINDER PVT LTD,0,84,420,45,0,0,0,0,0,0,549
LMV,M/S HOVEL CYLINDER PVT LTD,0,0,11,1,0,0,0,0,0,0,12
3W,M/S JASRAJ AUTO AGENCY,0,0,0,0,0,0,0,17,0,0,17
LMV,"M/S PATEL & SONS ENGINEERING WORKS,SAMBALPUR",0,0,0,0,0,0,0,0,0,1,1
3W,M/S SHRIRAM AUTO TECH PVT LTD,0,626,2227,2250,1614,692,787,2205,3637,1852,15890
LMV,M/S SHRIRAM AUTO TECH PVT LTD,0,0,1,18,1,0,0,0,0,0,20
3W,M/S SRISHTI AUTOMOBILES,0,0,3,0,0,0,0,2,0,0,5
3W,"M/S SUBHAM ENGINEERING WORKSHOP, BALIAPAL, BALASORE",0,0,1,0,0,0,0,0,0,0,1
3W,M/S TRISHIKA INDUSTRIES,0,0,0,0,0,0,3,0,0,0,3
2W,M/S UNITY MOTOR BODY,0,0,0,0,0,1,0,0,0,0,1
2W,M/S VISHNU CLEAN ENERGY VEHICLES LLP,0,0,0,0,0,0,0,3,0,0,3
3W,M/S VISHNU CLEAN ENERGY VEHICLES LLP,0,0,0,0,0,0,0,8,7,35,50
LMV,M/S VISHNU CLEAN ENERGY VEHICLES LLP,0,0,0,0,0,0,0,0,0,3,3
3W,M/S. DAVE EXIM (P) LTD.,0,0,28,0,1,0,0,0,0,0,29
2W,M2GO ELECTRIC VEHICLE PVT LTD,0,0,0,0,0,19,38,4,2,0,63
3W,M2J E VAHAN PVT LTD,0,0,0,0,17,54,105,50,0,8,234
3W,MAA DURGA ELECTRIC MOTOR VEHICLE PVT LTD,0,0,0,0,0,0,0,0,0,11,11
3W,MAA KALPANA ENTERPRISE,0,0,0,0,0,0,11,17,153,230,411
2W,MAA LUXMI E-VEHICLES PVT. LTD.,0,0,0,0,0,0,0,18,4,0,22
3W,MAA SHAKTI EXIM PVT LTD,23,982,1196,2033,1988,881,1804,2865,2571,1373,15716
LMV,MAA SHAKTI EXIM PVT LTD,0,0,0,1,0,0,0,0,0,0,1
3W,MAC AUTO INDIA,0,0,147,431,537,248,289,469,564,401,3086
LMV,MAC AUTO INDIA,0,0,0,1,0,0,0,0,0,0,1
2W,MAC INTERNATIONAL (IMPORTER: JHEV MOTORS PVT LTD),0,0,0,0,0,0,0,0,1,27,28
2W,MAC INTERNATIONAL (IMPORTER:HONESTY),0,0,0,0,0,0,0,0,1,1,2
3W,MACNEILL ENGG LTD,0,0,2,0,0,0,0,0,0,0,2
LMV,MACNEILL ENGG LTD,2,2,0,0,0,0,6,0,0,0,10
LMV,MACNEILL ENGINEERING LIMITED,0,0,0,0,0,0,0,1,2,0,3
LMV,MAHALINGA ENGG. INDUSTRIES  ,3,0,0,0,0,0,0,0,0,0,3
2W,MAHARASTRA SCOOTER LIMITED,1,0,0,0,0,0,0,0,0,0,1
3W,MAHI ENTERPRISES,0,0,0,22,32,8,13,80,60,1,216
LMV,MAHI ENTERPRISES,0,0,0,1,0,0,0,0,0,0,1
2W,MAHINDRA & MAHINDRA LIMITED,4,1,0,1,0,0,0,0,0,0,6
3W,MAHINDRA & MAHINDRA LIMITED,2,35,242,4150,6725,4564,3860,13558,37942,1331,72409
LMV,MAHINDRA & MAHINDRA LIMITED,254,344,443,974,687,419,115,333,4505,4305,12379
LMV,MAHINDRA & MAHINDRA LIMITED (SWARAJ DIVISION),0,1,0,1,0,0,0,0,0,0,2
3W,MAHINDRA & MAHINDRA LIMITED (TRACTOR),0,0,33,3,0,0,0,0,0,0,36
2W,MAHINDRA ELECTRIC MOBILITY LIMITED,0,0,0,1,0,0,0,0,0,0,1
3W,MAHINDRA ELECTRIC MOBILITY LIMITED,0,0,51,35,1786,3219,6711,15931,4949,57,32739
LMV,MAHINDRA ELECTRIC MOBILITY LIMITED,462,306,499,461,99,35,82,66,56,1,2067
3W,MAHINDRA GUJARAT TRACTOR LIMITED,0,1,0,0,0,0,0,0,0,0,1
3W,MAHINDRA LAST MILE MOBILITY LTD,0,0,0,0,0,0,0,0,11733,34331,46064
LMV,MAHINDRA LAST MILE MOBILITY LTD,0,0,0,0,0,0,0,0,40,430,470
3W,MAHINDRA NAVISTAR  AUTOMOTIVES LTD,0,0,19,6,0,0,0,0,0,0,25
3W,MAHINDRA NISSAN ALLWYN LTD.,0,3,0,0,0,0,0,0,0,0,3
LMV,MAHINDRA RENAULT PVT.LTD.,2,0,0,1,0,0,0,0,0,0,3
2W,MAHINDRA TWO WHEELERS LTD,5,14,0,0,0,0,0,0,0,0,19
LMV,MAHINDRA TWO WHEELERS LTD,0,0,2,0,0,0,0,0,0,0,2
LMV,MAHINDRA VEHICLE MANUFACTURER LIMITED,1,0,0,0,0,0,0,0,0,0,1
3W,MAHTAB BODY MAKER,0,0,0,0,0,0,7,186,778,590,1561
3W,MALAK TECHNO PVT LTD,0,0,0,0,0,0,0,0,52,50,102
3W,MALHOTRA  VEHICLE MANUFACTURING PVT LTD,0,0,35,47,6,0,0,0,0,0,88
3W,MALI ENTERPRISES PVT LTD,0,0,0,107,499,103,84,133,10,2,938
3W,MAN TRUCKS INDIA PVT. LTD.,0,0,14,0,0,0,0,0,0,0,14
3W,MANIRAM ELECTRIC VEHICLE PVT LTD,0,0,0,16,52,19,0,0,299,766,1152
3W,MANISH EV INTERNATIONAL PRIVATE LIMITED,0,0,0,0,0,0,28,173,433,195,829
3W,MANITA CITY MOTORS LLP,0,0,0,8,167,162,396,854,1810,1280,4677
LMV,MANITA CITY MOTORS LLP,0,0,0,0,0,1,0,0,0,0,1
3W,MANMOHAN KAUR,0,0,0,0,54,25,6,39,64,65,253
3W,MARINE NAVAIDS & SOLAR AUTO PVT LTD,0,0,0,0,0,4,2,14,4,0,24
3W,MARKUS,0,0,0,0,0,0,0,2,27,35,64
2W,MARUTHISAN PVT LTD,0,0,0,0,0,0,0,84,147,90,321
LMV,MARUTI SUZUKI INDIA LTD,8,11,8,2,1,0,0,0,0,0,30
2W,MAULIRAJ INDUSTRIES LLP,0,0,0,0,0,0,0,0,1,1,2
3W,MAXI CAB,1,0,0,0,0,0,0,0,0,0,1
3W,"MAYUR ENTERPRISES,BARIPADA",0,0,3,0,15,1,0,0,0,0,19
2W,MECPOWER MOBILITY PVT. LTD.,0,0,0,0,0,0,0,0,128,154,282
LMV,MEGHA TRAILERS,1,0,0,0,0,0,0,0,0,0,1
LMV,MERCEDES -BENZ AG,0,0,0,0,0,10,26,60,322,316,734
LMV,MERCEDES-BENZ INDIA PVT LTD,0,0,0,0,0,0,0,94,193,112,399
2W,MEW ELECTRICALS LIMITED,0,0,0,0,0,57,1842,3215,195,6,5315
3W,MG MOTOR INDIA PVT LTD,0,0,1,0,0,0,0,0,0,0,1
LMV,MG MOTOR INDIA PVT LTD,0,0,0,0,7,772,2384,3430,9520,7229,23342
2W,MICROAUTOTECH PVT. LTD.,0,0,0,0,0,0,0,0,2,2,4
2W,MICROCON I2I PVT LTD,0,0,0,0,0,0,94,0,0,0,94
3W,MILLENNIAL MOTORS LLP,0,0,0,0,0,0,0,0,7,10,17
3W,MINI METRO,6,681,1695,148,87,94,221,362,97,0,3391
2W,MINI METRO EV L.L.P,0,0,0,0,0,0,0,1,0,0,1
3W,MINI METRO EV L.L.P,0,125,599,2513,2265,1754,3447,10487,15962,7092,44244
LMV,MINI METRO EV L.L.P,0,0,0,1,0,2,0,1,1,0,5
2W,MIRAKLE 5 AUTOMOBILES PVT LTD,0,0,0,0,0,0,0,18,102,12,132
3W,MITHU BAJRANG ENG.WORKS,0,0,1,0,0,0,0,0,0,0,1
3W,MLR AUTO LTD,0,0,0,0,0,5,35,23,70,143,276
LMV,MLR AUTO LTD,0,0,0,0,0,0,0,0,0,13,13
2W,MODIKA INTERNATIONAL (IMPORTER: FRANKLIN EV),0,0,0,0,0,0,0,0,19,30,49
3W,MOHAN GENERAL TRADING COMPANY,0,0,0,17,56,77,39,26,43,31,289
3W,MOMU AUTOMOTIVE,0,0,0,0,0,0,0,0,0,210,210
3W,MONDAL TRADING,0,0,0,0,0,61,68,2,77,38,246
3W,MOTOR & GENERAL SALES LTD.,0,0,3,0,0,0,0,0,0,0,3
3W,MOTOR & GENERAL SALES PVT LTD,0,0,0,102,33,1,0,0,0,0,136
LMV,MOTOR & GENERAL SALES PVT LTD,0,0,0,0,1,0,0,0,0,0,1
LMV,MOTOROYALE KINETIC PRIVATE LIMITED,0,0,0,0,0,0,0,8,0,0,8
2W,MOTOVOLT MOBILITY PVT LTD,0,0,0,0,0,0,0,0,0,14,14
3W,MOTRAC MOTORS PVT LTD,0,0,0,128,132,100,111,23,0,0,494
3W,MOVE STONE SERVICES PVT LTD,0,0,0,0,0,0,0,825,2965,2297,6087
LMV,MSI INDUSTRIES,2,0,0,0,0,0,0,0,0,0,2
3W,MULTI DIMENSIONAL SOLUTIONS,0,0,0,5,18,7,10,10,0,0,50
3W,MUNDE MECHANICAL WORKS,0,0,17,0,0,0,0,0,0,0,17
LMV,MUTHUR AGRO ENGINEERING WORKS,1,0,0,0,0,0,0,0,0,0,1
3W,MVM MOTORS PRIVATE LIMITED,0,0,0,0,0,0,0,1,0,5,6
3W,N0VA AUTOMOTIVE TECHNOLOGIES PVT. LTD,0,0,0,291,232,100,288,1723,4925,2796,10355
3W,NABH MOTORS PVT LTD,0,29,79,86,48,6,5,12,0,0,265
3W,NAMAH INDUSTRIES PVT LTD,0,0,0,6,91,38,9,4,5,153,306
3W,NAND ELECTRIC MOTOR VEHICLE PVT LTD,0,0,6,13,30,0,0,0,3,0,52
3W,NANNHRAY AGIRCULTURE WORKS,0,0,31,6,0,0,0,0,0,0,37
3W,NANYA AIRCONN PVT LTD,0,0,14,7,1,0,0,0,0,0,22
3W,NARAINDASS AND SONS,0,0,0,34,12,1,0,0,4,11,62
3W,NB TURNED  COMPONENTS PVT LTD,0,0,31,29,13,0,2,0,0,0,75
LMV,NB TURNED  COMPONENTS PVT LTD,0,0,0,1,0,0,0,0,0,0,1
3W,NBC ENGINEERING PVT LTD,0,0,0,0,0,0,0,4,0,0,4
2W,NDS ECO MOTORS PVT LTD,0,0,0,48,648,146,96,28,7,2,975
3W,NEEDLE EYE PLASTIC INDUSTRIES PVT LTD,0,42,516,573,267,148,354,542,667,357,3466
LMV,NEEDLE EYE PLASTIC INDUSTRIES PVT LTD,0,10,17,5,0,0,0,0,0,0,32
3W,NEELAM AGRO EQUIP,0,0,0,1,0,0,0,0,0,0,1
3W,NEELAM CYCLE,0,0,0,0,0,0,0,8,42,21,71
3W,NEUON MOTORS LLP,0,0,0,0,0,0,0,0,45,54,99
3W,NEW ARCANA INDIA,9,125,224,361,732,316,602,1331,1253,502,5455
3W,NEW CHAWLA INDUSTRIES,0,0,0,0,0,0,0,0,0,67,67
3W,NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT.LTD.,0,0,8,3,0,0,0,0,0,0,11
LMV,NEW MARTHWADA QUALITY TRAILOR,0,0,0,1,0,0,0,0,0,0,1
3W,NEWTON INDIA INDUSTRIES PVT LTD,0,0,0,0,0,0,12,9,5,0,26
2W,NEXZU MOBILITY PVT LTD,0,0,0,0,370,96,16,0,0,0,482
3W,NEXZU MOBILITY PVT LTD,0,0,0,1,0,0,0,0,0,0,1
3W,NGAGE IMPEX PVT LTD,0,0,0,0,0,0,1,0,0,0,1
3W,NGAGE WHEEL PVT LTD,0,0,0,0,38,21,7,8,40,10,124
3W,NHD MOTORS,0,0,0,125,161,179,265,289,326,202,1547
3W,NIBE MOTORS PVT LTD,0,0,0,0,15,4,1,19,19,0,58
2W,NIC TEST ACCOUNT-1,0,3,6,10,0,0,0,0,0,0,19
3W,NIC TEST ACCOUNT-1,51,891,2889,568,2,0,0,0,0,0,4401
LMV,NIC TEST ACCOUNT-1,0,3,369,0,0,0,0,0,0,0,372
3W,NICOLAS INDUSTRIES,0,0,1,0,0,0,0,0,0,0,1
3W,NIKHIL FURNITURES,0,1,76,205,31,7,0,0,0,0,320
2W,NINGBO SANJIANG (IMPORTER: VABRO EVTECH),0,0,0,0,0,0,0,0,0,28,28
3W,NIPUN SANYANTRA PVT LTD,0,0,0,1,17,11,290,569,439,138,1465
3W,NIRMAL UTILITY SERVICES PVT LTD,0,0,2,128,158,48,43,77,22,7,485
2W,NISIKI TECHNOLOGIES PVT LTD,0,0,0,0,0,0,12,167,164,23,366
3W,NISSAN MOTOR INDIA PVT LTD,0,408,2,0,0,0,0,0,0,0,410
LMV,NISSAN MOTOR INDIA PVT LTD,0,2,4,0,1,0,0,3,0,0,10
3W,NRJ ELECTRIC MOTOR VEHICLES PVT LTD,0,0,0,102,468,295,760,1563,2650,2110,7948
2W,NUMEROS MOTORS PVT LTD,0,0,0,0,0,0,0,335,473,150,958
2W,OBEN ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,0,0,50,217,267
3W,OCULUS AUTO INDUSTRIES LLP,0,0,0,0,0,0,0,0,2,3,5
2W,ODYSSE ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,4,81,313,210,39,647
3W,OGATA MOTORS INDIA PVT LTD,0,0,0,0,87,207,168,160,157,47,826
3W,OK PLAY INDIA LTD,0,9,336,468,130,64,6,63,125,81,1282
LMV,OK PLAY INDIA LTD,0,0,0,0,7,0,0,0,0,0,7
2W,OKA MOTOR COMPANY LTD.,0,0,0,2,0,0,0,0,0,0,2
2W,OKAYA EV PVT LTD,0,0,0,0,0,0,0,8913,15816,4387,29116
2W,OKINAWA AUTOTECH PVT LTD,0,1,331,8452,11850,5754,30659,103620,31616,3893,196176
3W,OKINAWA AUTOTECH PVT LTD,0,0,0,0,0,3,0,0,1,0,4
LMV,OKINAWA AUTOTECH PVT LTD,0,0,0,1,1,0,0,0,0,0,2
2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,0,0,0,0,0,0,240,109398,267355,211273,588266
LMV,OLECTRA GREENTECH LTD,0,0,0,0,0,0,1,0,0,0,1
MMV,OLECTRA GREENTECH LTD,0,0,0,1,11,7,0,3,12,0,34
3W,OLYMPUS INDUSTRIES PVT LTD,0,0,0,3,51,5,10,0,0,0,69
MMV,OLYMPUS INDUSTRIES PVT LTD,0,0,0,1,0,0,0,0,0,0,1
2W,OM BALAJEE AUTOMOBILE ( INDIA) PVT. LTD,0,0,0,0,0,0,1,0,0,0,1
3W,OM BALAJEE AUTOMOBILE ( INDIA) PVT. LTD,0,389,1079,1701,1610,672,1448,2930,3304,1461,14594
3W,OM BALAJI AUTOMOBILES I P LTD,0,340,241,145,83,54,24,16,9,0,912
3W,OM INDUSTRIES,0,0,0,35,12,1,0,0,44,768,860
3W,OM PACKAGING,0,0,0,4,29,13,6,15,0,0,67
3W,OM RAJ AUTOTECH LLP,0,0,0,27,388,345,795,1167,1203,550,4475
3W,OM. INDUSTRIES,0,0,0,0,5,3,4,1,0,0,13
3W,OMEGA SALES & AGRO INDUSTRIES,0,0,0,0,0,3,12,102,283,188,588
3W,OMEGA SEIKI PVT LTD,0,0,0,0,0,0,317,2785,3579,4592,11273
LMV,OMEGA SEIKI PVT LTD,0,0,0,0,0,0,32,146,102,61,341
2W,OMJAY EV LIMITED,0,0,0,0,0,0,0,172,67,13,252
2W,ORIGINAL FUEL SYSTEM PVT LTD,0,0,0,1,0,0,0,0,0,0,1
3W,ORIGINAL FUEL SYSTEM PVT LTD,0,0,15,22,0,0,0,0,0,0,37
2W,OTHERS,110,136,382,1929,1576,933,8541,15099,195,4,28905
3W,OTHERS,1708,13401,15094,1687,312,199,777,2165,1435,174,36952
LMV,OTHERS,40,66,581,560,269,13,162,431,40,84,2246
MMV,OTHERS,0,1,0,2,0,0,0,0,1,1,5
2W,OZOTEC AUTOMOBILE PRIVATE LIMITED,0,0,0,0,0,0,0,93,351,56,500
3W,PAARTH SARTHI AUTOMOTIVE ENGINEERS PVT LTD,0,0,4,19,13,2,21,23,11,0,93
3W,PACE AGRO PRIVATE LIMITED,0,0,11,138,234,115,66,46,41,11,662
LMV,PACE AGRO PRIVATE LIMITED,0,0,0,1,0,0,0,0,0,0,1
3W,PACE AGRO PVT LTD,0,0,29,44,3,0,0,0,0,0,76
3W,PAL DIESAL PVT LTD,0,0,1,0,0,0,0,0,0,0,1
3W,PANSEN ENGINEERING INDIA PVT LTD,0,0,0,0,41,57,47,0,0,0,145
3W,PANTHER ELECTRIC VEHICLES,0,0,0,0,0,2,33,66,77,23,201
3W,PARAG AGRO,0,0,2,0,0,0,0,0,0,0,2
3W,PARAS INDUSTRIES,0,0,1,0,0,6,317,1120,3246,1822,6512
LMV,PARAS INDUSTRIES,0,0,0,0,0,0,0,0,1,0,1
3W,PARI E-VEHICLES,0,6,62,210,246,156,160,484,572,265,2161
3W,PARI METRO E RICKSHAW,0,0,0,219,286,138,301,706,904,514,3068
3W,PARVEEN AUTO,0,0,0,0,285,63,181,1,65,24,619
3W,PASHUPATI NATH MOTORS PVT LTD,0,0,1,14,12,2,0,0,0,0,29
3W,PASHUPATI VEHICLE PVT. LTD.,0,1,2,3,20,1,0,0,0,0,27
3W,PASHUPATI VEHICLES PVT LTD,0,0,13,17,29,15,2,1,0,0,77
3W,PATS MOTOR CORP,0,1,18,9,44,59,28,24,21,6,210
LMV,PCA AUTOMOBILES INDIA PVT LTD,0,0,0,0,0,0,0,0,1950,916,2866
2W,PIAGGIO VEHICLES PVT LTD,3,7,4,0,0,0,0,0,0,0,14
3W,PIAGGIO VEHICLES PVT LTD,5,4,3,11,1,79,2247,7431,21079,12869,43729
LMV,PIAGGIO VEHICLES PVT LTD,0,0,0,0,0,0,19,3,10,8,40
3W,PILLING RIG,0,0,0,0,0,0,1,0,0,0,1
LMV,PINNACLE MOBILITY SOLUTIONS PVT LTD,0,0,0,0,0,0,0,0,22,27,49
